店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
個室完備 海賊料理と牡蠣の店 村上海賊 広島駅エキエ広島店,050-5487-5344,,広島県,広島市南区松原町,1月2日,ekie1F,https://y089242.gorp.jp/,TRUE
チャイニーズグリル 好,050-5487-1223,,広島県,広島市中区銀山町,6月23日,ピュアコート橋本1F,https://chinesegrillhao.gorp.jp/,TRUE
レモン＆オイスターガーデン SANGO,050-5494-9210,,広島県,広島市中区橋本町,11月4日,,https://ya0a102.gorp.jp/,TRUE
カープ鳥 球場前店,050-5494-0841,,広島県,広島市南区東荒神町,5月12日,,https://ya2j800.gorp.jp/,TRUE
個室完備 まぐろ居酒屋 さかなや道場 広島駅北口店,050-5485-6301,,広島県,広島市南区松原町,1月5日,ホテルグランビア広島B1,https://y089234.gorp.jp/,TRUE
肉刺し×居酒屋　DENIRO（デニーロ）,050-5488-2258,,広島県,広島市南区大須賀町,12月2日,,https://ya1b801.gorp.jp/,TRUE
豚焼肉専門店 元祖ぶたせんたー 薬研堀店,050-5492-7316,,広島県,広島市中区胡町,3月4日,パオ館1F,https://ya2k701.gorp.jp/,TRUE
牡蠣小屋 個室 海鮮居酒屋 豊丸水産 広島駅新幹線口店,050-5485-4598,,広島県,広島市東区若草町,11月2日,グランアークテラス2F,https://y089208.gorp.jp/,TRUE
FLEX Cafe Chatty フレックスカフェ チャッティー,050-5494-6936,,広島県,広島市中区上幟町,7月1日,,https://ya3u200.gorp.jp/,TRUE
ホルモン料理ともつ鍋の店 肉玉屋,050-5486-2964,,広島県,広島市東区光町,2001/9/2,,https://y690900.gorp.jp/,TRUE
スペインバル massa ミナモア広島店,050-5492-9129,,広島県,広島市南区松原町,2-37,,https://ya7y300.gorp.jp/,TRUE
魚河岸酒場 駅前 浜けん,050-5485-6440,,広島県,広島市南区猿猴橋町,4月22日,,https://hamaken.gorp.jp/,TRUE
やきとん・おでん ます家 広島駅前荒神町店,050-5492-2580,,広島県,広島市南区荒神町,3月16日,宏和57ビル1F,https://ya7f600.gorp.jp/,TRUE
スミバコ,050-5494-9207,,広島県,広島市南区大須賀町,13-27-5,,https://ya0a101.gorp.jp/,TRUE
カープ鳥 広島駅前スタジアム,050-5485-2734,,広島県,広島市南区松原町,2-62,広島JPビルディング1F,https://ya2j802.gorp.jp/,TRUE
広島呑み屋街 ほのぼの横丁 広島駅前店,082-258-4903,,広島県,広島市南区松原町,10月1日,広島フルフォ-カスビル5F,,
完全個室居酒屋 和咲美‐わさび‐ 広島駅前店,050-5487-1757,,広島県,広島市東区若草町,11月2日,グランアークテラス2F,https://ya61500.gorp.jp/,TRUE
隠れ家個室居酒屋 四季彩 広島駅前店,050-5494-4837,,広島県,広島市南区松原町,10月1日,広島フルフォーカスビルB1,https://ya33500.gorp.jp/,TRUE
全席個室居酒屋 茜屋 ‐AKANEYA‐ 広島駅前店,050-5487-9304,,広島県,広島市東区若草町,11月2日,グランアークテラス2F,https://ya64600.gorp.jp/,TRUE
隠れ家個室居酒屋 九十九 ‐つくも‐ 広島胡町店,050-5488-7646,,広島県,広島市中区胡町,4月25日,FFビル1F,https://ya6d300.gorp.jp/,TRUE
個室海鮮居酒屋 藁家88 広島駅前店,050-5488-2104,,広島県,広島市南区猿猴橋町,6月17日,宏和12ビル4F,https://y500729.gorp.jp/,TRUE
和×中×韓×焼鳥 食べ飲み放題 個室居酒屋 三国団 広島駅店,050-5488-7999,,広島県,広島市東区若草町,11月2日,グランアークテラス 2F,https://y918300.gorp.jp/,TRUE
食辛房 広島駅前店,050-5485-8205,,広島県,広島市南区松原町,10月1日,広島フルフォーカスビル3F,https://y266603.gorp.jp/,TRUE
ゆかりんの台所 ～Sorriso～,050-5487-9236,,広島県,広島市中区胡町,2月11日,宏和52,https://ya13901.gorp.jp/,TRUE
